Category_Name,Category_Url,Main_Category
Katzenbedarf,https://shop.rewe.de/c/tier-tierbedarf/,https://shop.rewe.de/c/tier/?source=homepage-category
Fischfutter ,https://shop.rewe.de/c/tier-tierfutter-fischfutter/,https://shop.rewe.de/c/tier/?source=homepage-category
Hundebedarf,https://shop.rewe.de/c/tier-tierfutter/,https://shop.rewe.de/c/tier/?source=homepage-category
Kleintierbedarf,https://shop.rewe.de/c/tier-tierbedarf-kleintierzubehoer/,https://shop.rewe.de/c/tier/?source=homepage-category
Vogelbedarf,https://shop.rewe.de/c/tier-tierbedarf-vogelzubehoer/,https://shop.rewe.de/c/tier/?source=homepage-category
Haushaltsartikel,https://shop.rewe.de/c/kueche-haushalt-haushaltsartikel/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Bekleidung,https://shop.rewe.de/c/drogerie-kosmetik-mode/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Bücher,https://shop.rewe.de/c/haus-freizeit-buecher/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Bürobedarf,https://shop.rewe.de/c/haus-freizeit-buerobedarf/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Elektronik,https://shop.rewe.de/c/haus-freizeit-elektronische-geraete/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Gartenzubehör,https://shop.rewe.de/c/garten-outdoor-gartenzubehoer/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Grills & Grillzubehör,https://shop.rewe.de/c/garten-outdoor-grills-grillzubehoer/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Ordnen & Aufbewahren,https://shop.rewe.de/c/haus-freizeit-dekoration-lifestyle-ordnen-aufbewahren/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Party & Geschenke,https://shop.rewe.de/c/haus-freizeit-party/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Spielwaren,https://shop.rewe.de/c/baby-kind-spielwaren/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Winterzubehör,https://shop.rewe.de/c/garten-outdoor-winterzubehoer/,https://shop.rewe.de/c/haus-freizeit/?source=homepage-category
Küchenhelfer & Zubehör,https://shop.rewe.de/c/kueche-haushalt-kuechenhelfer/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Aufbewahrung,https://shop.rewe.de/c/kueche-haushalt-aufbewahrung/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Backartikel,https://shop.rewe.de/c/kueche-haushalt-backartikel/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Flaschen & Kannen,https://shop.rewe.de/c/kueche-haushalt-flaschen-kannen/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Geschirr & Besteck,https://shop.rewe.de/c/kueche-haushalt-geschirr-besteck/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Küchengeräte,https://shop.rewe.de/c/kueche-haushalt-haushaltsgeraete/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Pfannen & Töpfe,https://shop.rewe.de/c/kueche-haushalt-pfannen-toepfe/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Putzen & Reinigen,https://shop.rewe.de/c/kueche-haushalt-putzen-reinigen/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Spülen,https://shop.rewe.de/c/kueche-haushalt-spuelen/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Tischdecken & Servietten,https://shop.rewe.de/c/kueche-haushalt-tischdecken-servietten/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Treue-Aktion,https://shop.rewe.de/c/kueche-haushalt-treue-aktion/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Waschen & Bügeln,https://shop.rewe.de/c/kueche-haushalt-waschen/,https://shop.rewe.de/c/kueche-haushalt/?source=homepage-category
Windeln & Wickeln,https://shop.rewe.de/c/baby-kind-windeln-wickeln/,https://shop.rewe.de/c/baby-kind/?source=homepage-category
Babynahrung,https://shop.rewe.de/c/baby-kind-babynahrung-zubehoer/,https://shop.rewe.de/c/baby-kind/?source=homepage-category
Babypflege,https://shop.rewe.de/c/baby-kind-babypflege/,https://shop.rewe.de/c/baby-kind/?source=homepage-category
Schnuller & Fläschchen,https://shop.rewe.de/c/baby-kind-schnuller-sauger/,https://shop.rewe.de/c/baby-kind/?source=homepage-category
Gesundheit,https://shop.rewe.de/c/drogerie-kosmetik-gesundheit/,https://shop.rewe.de/c/drogerie-kosmetik/?source=homepage-category
Haarpflege & Beauty,https://shop.rewe.de/c/drogerie-kosmetik-haarpflege-beauty/,https://shop.rewe.de/c/drogerie-kosmetik/?source=homepage-category
Körperpflege & -reinigung,https://shop.rewe.de/c/drogerie-kosmetik-koerperpflege-reinigung/,https://shop.rewe.de/c/drogerie-kosmetik/?source=homepage-category
Make-Up,https://shop.rewe.de/c/drogerie-kosmetik-make-up/,https://shop.rewe.de/c/drogerie-kosmetik/?source=homepage-category
Papier- & Hygieneartikel,https://shop.rewe.de/c/drogerie-kosmetik-papier-hygieneartikel/,https://shop.rewe.de/c/drogerie-kosmetik/?source=homepage-category
Parfüm,https://shop.rewe.de/c/drogerie-kosmetik-parfuem/,https://shop.rewe.de/c/drogerie-kosmetik/?source=homepage-category
Rasur & Haarentfernung,https://shop.rewe.de/c/drogerie-kosmetik-rasur-haarentfernung/,https://shop.rewe.de/c/drogerie-kosmetik/?source=homepage-category
Zahn- & Mundpflege,https://shop.rewe.de/c/drogerie-kosmetik-zahn-mundpflege/,https://shop.rewe.de/c/drogerie-kosmetik/?source=homepage-category
"Champagner, Sekt & Co.",https://shop.rewe.de/c/wein-spirituosen-genussmittel-sekt-champagner-schaumwein/,https://shop.rewe.de/c/wein-spirituosen-genussmittel/?source=homepage-category
Fruchtwein & Weinmischgetränke,https://shop.rewe.de/c/wein-spirituosen-genussmittel-fruchtwein-weinmischgetraenke/,https://shop.rewe.de/c/wein-spirituosen-genussmittel/?source=homepage-category
Genussmittel,https://shop.rewe.de/c/wein-spirituosen-genussmittel-genussmittel/,https://shop.rewe.de/c/wein-spirituosen-genussmittel/?source=homepage-category
Spirituosen & Mischgetränke,https://shop.rewe.de/c/wein-spirituosen-genussmittel-spirituosen-mischgetraenke/,https://shop.rewe.de/c/wein-spirituosen-genussmittel/?source=homepage-category
Wein,https://shop.rewe.de/c/wein-spirituosen-genussmittel-wein-fruchtwein-mischgetraenke/,https://shop.rewe.de/c/wein-spirituosen-genussmittel/?source=homepage-category
Soft Drinks,https://shop.rewe.de/c/getraenke-soft-drinks/,https://shop.rewe.de/c/getraenke/?source=homepage-category
Bier & -mischgetränke,https://shop.rewe.de/c/getraenke-bier-mischgetraenke/,https://shop.rewe.de/c/getraenke/?source=homepage-category
Wasser,https://shop.rewe.de/c/getraenke-wasser/,https://shop.rewe.de/c/getraenke/?source=homepage-category
Kaffee,https://shop.rewe.de/c/kaffee-tee-kakao-kaffee/,https://shop.rewe.de/c/kaffee-tee-kakao/?source=homepage-category
Kaffeesirup,https://shop.rewe.de/c/kaffee-tee-kakao-kaffeesirup/,https://shop.rewe.de/c/kaffee-tee-kakao/?source=homepage-category
Kakao & Mischgetränke,https://shop.rewe.de/c/kaffee-tee-kakao-kakao-mischgetraenke/,https://shop.rewe.de/c/kaffee-tee-kakao/?source=homepage-category
Tee,https://shop.rewe.de/c/kaffee-tee-kakao-tee/,https://shop.rewe.de/c/kaffee-tee-kakao/?source=homepage-category
Schokolade,https://shop.rewe.de/c/suesses-salziges-schokolade/,https://shop.rewe.de/c/suesses-salziges/?icid=suess-salzig_shop-rewe-de_int_shop shop-rewe-de:c:suesses-salziges_nn_nn_nn_nn_&source=homepage-category
Chips & Knabbereien,https://shop.rewe.de/c/suesses-salziges-chips-knabbereien/,https://shop.rewe.de/c/suesses-salziges/?icid=suess-salzig_shop-rewe-de_int_shop shop-rewe-de:c:suesses-salziges_nn_nn_nn_nn_&source=homepage-category
Nüsse,https://shop.rewe.de/c/suesses-salziges-nuesse/,https://shop.rewe.de/c/suesses-salziges/?icid=suess-salzig_shop-rewe-de_int_shop shop-rewe-de:c:suesses-salziges_nn_nn_nn_nn_&source=homepage-category
Ostern,https://shop.rewe.de/c/suesses-salziges-ostern/,https://shop.rewe.de/c/suesses-salziges/?icid=suess-salzig_shop-rewe-de_int_shop shop-rewe-de:c:suesses-salziges_nn_nn_nn_nn_&source=homepage-category
Süßgebäck,https://shop.rewe.de/c/suesses-salziges-suessgebaeck/,https://shop.rewe.de/c/suesses-salziges/?icid=suess-salzig_shop-rewe-de_int_shop shop-rewe-de:c:suesses-salziges_nn_nn_nn_nn_&source=homepage-category
Süßwaren,https://shop.rewe.de/c/suesses-salziges-suesswaren/,https://shop.rewe.de/c/suesses-salziges/?icid=suess-salzig_shop-rewe-de_int_shop shop-rewe-de:c:suesses-salziges_nn_nn_nn_nn_&source=homepage-category
Weihnachten,https://shop.rewe.de/c/suesses-salziges-weihnachten/,https://shop.rewe.de/c/suesses-salziges/?icid=suess-salzig_shop-rewe-de_int_shop shop-rewe-de:c:suesses-salziges_nn_nn_nn_nn_&source=homepage-category
"Nudeln, Reis & Getreide",https://shop.rewe.de/c/nahrungsmittel-nudeln-reis-getreide/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
Backzutaten,https://shop.rewe.de/c/nahrungsmittel-backzutaten/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
Brot & Backwaren,https://shop.rewe.de/c/nahrungsmittel-brot-backwaren/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
Brotaufstriche,https://shop.rewe.de/c/nahrungsmittel-brotaufstriche/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
Cerealien & Müsli,https://shop.rewe.de/c/nahrungsmittel-cerealien-muesli/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
Fertiggerichte & Konserven,https://shop.rewe.de/c/nahrungsmittel-fertiggerichte-konserven/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
Kochhilfen & Gewürze,https://shop.rewe.de/c/nahrungsmittel-kochhilfen-gewuerze/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
"Öl, Dressings, Ketchup & Mayo",https://shop.rewe.de/c/nahrungsmittel-oel-dressings-ketchup-mayo/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
Spezielle Ernährung,https://shop.rewe.de/c/nahrungsmittel-spezielle-ernaehrung/,https://shop.rewe.de/c/nahrungsmittel/?source=homepage-category
Eiscreme & Eiswürfel,https://shop.rewe.de/c/tiefkuehl-eiscreme-eiswuerfel/,https://shop.rewe.de/c/tiefkuehl/?source=homepage-category
"Fisch, Fleisch & Geflügel",https://shop.rewe.de/c/tiefkuehl-fisch-fleisch-gefluegel/,https://shop.rewe.de/c/tiefkuehl/?source=homepage-category
"Gemüse, Kräuter & Kartoffelprodukte",https://shop.rewe.de/c/tiefkuehl-gemuese-kraeuter-kartoffelprodukte/,https://shop.rewe.de/c/tiefkuehl/?source=homepage-category
"Obst, Desserts & Backwaren",https://shop.rewe.de/c/tiefkuehl-obst-desserts-backwaren/,https://shop.rewe.de/c/tiefkuehl/?source=homepage-category
Pizza & Fertiggerichte,https://shop.rewe.de/c/tiefkuehl-pizza-fertiggerichte/,https://shop.rewe.de/c/tiefkuehl/?source=homepage-category
"Joghurt, Desserts & Alternativen",https://shop.rewe.de/c/frische-kuehlung-joghurt-pudding-milchsnacks/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Butter & Brotaufstriche,https://shop.rewe.de/c/frische-kuehlung-eier-fett-molkereiprodukte/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Convenience,https://shop.rewe.de/c/frische-kuehlung-convenience/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Eier & Ei-Ersatz,https://shop.rewe.de/c/frische-kuehlung-eier-fett-molkereiprodukte-eier/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Fisch & Meeresfrüchte,https://shop.rewe.de/c/frische-kuehlung-fisch-meeresfruechte/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Fleisch & Fleischersatz,https://shop.rewe.de/c/frische-kuehlung-fleisch/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Käse & Käseersatz,https://shop.rewe.de/c/frische-kuehlung-kaese-kaeseersatz/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Milch & Milchersatz,https://shop.rewe.de/c/frische-kuehlung-milch-milchersatz/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Molkereiprodukte & Alternativen,https://shop.rewe.de/c/frische-kuehlung-molkereiprodukte-alternativen/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Servicetheke,https://shop.rewe.de/c/frische-kuehlung-servicetheke/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Smoothies & Säfte,https://shop.rewe.de/c/frische-kuehlung-smoothies-saefte/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Wurst & Aufschnitt,https://shop.rewe.de/c/frische-kuehlung-wurst-aufschnitt/,https://shop.rewe.de/c/frische-kuehlung/?source=homepage-category
Gemüse,https://shop.rewe.de/c/obst-gemuese-gemuese/,https://shop.rewe.de/c/obst-gemuese/?source=homepage-category
Kräuter,https://shop.rewe.de/c/obst-gemuese-kraeuter/,https://shop.rewe.de/c/obst-gemuese/?source=homepage-category
Obst,https://shop.rewe.de/c/obst-gemuese-obst/,https://shop.rewe.de/c/obst-gemuese/?source=homepage-category
Trockenfrüchte & Kerne,https://shop.rewe.de/c/obst-gemuese-trockenfruechte-kerne/,https://shop.rewe.de/c/obst-gemuese/?source=homepage-category
